student,lab no,name,formatting,commit intervals,commit messages,compiles,correct output
s1,1,yes,no,yes,yes,yes,yes
s2,1,yes,yes,yes,no,yes,yes
s3,1,yes,yes,yes,no,yes,yes
s4,1,yes,no,yes,no,yes,yes
s5,1,yes,yes,yes,yes,yes,yes
s6,1,yes,yes,yes,no,yes,yes
s7,1,yes,no,yes,yes,yes,yes
s8,1,yes,yes,yes,yes,yes,yes
s9,1,yes,yes,yes,yes,yes,yes
s10,1,yes,no,yes,yes,yes,yes
s11,1,yes,no,yes,yes,yes,yes
s12,1,yes,yes,yes,yes,yes,yes
s13,1,yes,no,yes,yes,yes,yes
s14,1,yes,no,yes,yes,yes,yes
s15,1,yes,no,yes,no,yes,yes
s16,1,yes,no,yes,yes,yes,yes
s17,1,yes,yes,yes,yes,yes,yes
s18,1,yes,no,yes,yes,yes,yes
s19,1,yes,yes,yes,yes,yes,yes
s20,1,no,no,no,yes,yes,yes
s21,1,yes,no,yes,yes,yes,yes
s22,1,yes,no,yes,yes,yes,yes
s23,1,yes,yes,yes,yes,yes,yes
s24,1,yes,no,no,no,yes,yes
s25,1,yes,no,yes,yes,yes,yes
s26,1,yes,yes,yes,no,yes,yes
s27,1,yes,no,yes,yes,yes,yes
s28,1,no,no,yes,yes,yes,yes
s29,1,yes,yes,yes,no,yes,yes
s30,1,yes,no,yes,yes,yes,yes
s31,1,yes,yes,yes,no,yes,yes
s32,1,yes,no,yes,yes,yes,yes
s33,1,yes,no,yes,yes,yes,yes
s34,1,yes,no,yes,yes,yes,yes
s35,1,no,no,no,no,no,no
s36,1,yes,yes,yes,yes,yes,yes
s37,1,yes,yes,yes,yes,yes,yes
s38,1,yes,no,yes,yes,yes,yes
