student,lab no,name,formatting,commit intervals,commit messages,compiles,correct output,correct input,calculation
s1,2,yes,no,yes,yes,yes,yes,yes,yes
s2,2,yes,no,yes,yes,yes,yes,yes,yes
s3,2,yes,no,yes,yes,yes,yes,yes,yes
s4,2,yes,yes,yes,yes,yes,yes,yes,yes
s5,2,yes,no,yes,yes,yes,yes,yes,yes
s6,2,yes,yes,yes,yes,yes,yes,yes,yes
s7,2,yes,yes,yes,no,yes,yes,yes,yes
s8,2,yes,yes,yes,no,yes,no,no,no
s9,2,yes,yes,yes,yes,yes,yes,yes,yes
s10,2,yes,yes,yes,yes,yes,yes,yes,yes
s11,2,yes,yes,yes,yes,yes,yes,yes,yes
s12,2,yes,yes,yes,no,yes,yes,yes,yes
s13,2,yes,yes,yes,yes,yes,yes,yes,yes
s14,2,yes,yes,yes,yes,yes,yes,yes,yes
s15,2,yes,no,yes,no,yes,yes,yes,yes
s16,2,yes,yes,yes,yes,yes,yes,yes,no
s17,2,yes,yes,yes,yes,yes,yes,yes,no
s18,2,yes,no,yes,yes,yes,no,yes,yes
s19,2,yes,yes,yes,yes,yes,yes,yes,yes
s20,2,yes,yes,yes,yes,yes,yes,yes,yes
s21,2,yes,yes,yes,yes,yes,yes,yes,no
s22,2,yes,yes,yes,no,yes,yes,yes,yes
s23,2,yes,no,yes,yes,yes,yes,yes,yes
s24,2,yes,no,yes,yes,yes,yes,yes,yes
s25,2,yes,no,yes,yes,yes,yes,yes,yes
s26,2,yes,yes,yes,yes,yes,yes,yes,yes
s27,2,yes,yes,yes,yes,yes,yes,yes,yes
s28,2,yes,no,yes,yes,yes,no,no,yes
s29,2,yes,yes,yes,yes,yes,yes,yes,yes
s30,2,yes,no,yes,yes,yes,yes,yes,yes
s31,2,yes,yes,yes,yes,yes,yes,yes,yes
s32,2,yes,yes,yes,no,yes,yes,yes,yes
s33,2,yes,yes,yes,yes,yes,yes,yes,yes
s34,2,yes,no,yes,yes,yes,yes,yes,yes
s35,2,no,no,no,no,no,no,no,no
s36,2,no,no,no,no,no,no,no,no
s37,2,yes,no,yes,no,yes,no,yes,yes
s38,2,yes,yes,yes,no,yes,yes,yes,yes
