student,lab no,name,formatting,commit intervals,commit messages,compiles,correct output,correct input,calculation,variables,functions,lib use,type casting
s1,3,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes
s2,3,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes
s3,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s4,3,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
s5,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s6,3,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes
s7,3,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes
s8,3,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes
s9,3,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes
s10,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s11,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s12,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s13,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s14,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s15,3,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no
s16,3,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes
s17,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s18,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
s19,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s20,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s21,3,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
s22,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s23,3,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes
s24,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
s25,3,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes
s26,3,yes,yes,no,no,yes,no,no,no,yes,no,no,no
s27,3,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s28,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s29,3,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes
s30,3,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
s31,3,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes
s32,3,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s33,3,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
s34,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s35,3,no,no,no,no,no,no,no,no,no,no,no,no
s36,3,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes
s37,3,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes
s38,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
