student,lab no,name,formatting,commit intervals,commit messages,compiles,correct output,correct input,calculation,variables,functions,lib use,type casting,constants,if/else,logical conditions
s1,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s2,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes
s3,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s4,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s5,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s6,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s7,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no
s8,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes
s9,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s10,4,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes
s11,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s12,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s13,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s14,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
s15,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes
s16,4,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s17,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s18,4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
s19,4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
s20,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no
s21,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s22,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s23,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s24,4,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes
s25,4,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s26,4,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
s27,4,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s28,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s29,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
s30,4,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes
s31,4,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
s32,4,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
s33,4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
s34,4,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no
s35,4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
s36,4,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
s37,4,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes
s38,4,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
